bid_no,project_no,country_ko,project_name,source_file,extension,bytes,indexed,text_chunks,evidence_count,candidate_types,exclusion_reason
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/05-Especificaciones técnicas HVAC/Full HVAC specifications_CPSIA DD100% .pdf,.pdf,359520,True,11,0,시방서,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/07-Especificaciones técnicas IT/Full IT specification_CPSIA DD100%.pdf,.pdf,335403,True,13,1,시방서,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/08-Especificaciones_técnicas COMPILACION/20220421_FULL SPECIFICATION COMPILATION CPSIA_DD 100%.pdf,.pdf,3361341,True,224,11,시방서,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 3. BOQ (blanked)/BOQ (unit price blanked).pdf,.pdf,505425,True,20,6,BOQ | 가격·견적,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 3. BOQ (blanked)/BOQ (unit price blanked).XLS,.xls,684544,True,664,0,BOQ | 가격·견적,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Related Regulations)/1. Detailed Enforcement Rules of the Regulations for Procurement and Contract in Grant Aid Projects.pdf,.pdf,554876,True,123,8,,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Related Regulations)/2. Guidelines for Technical Evaluation.pdf,.pdf,416852,True,65,9,,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Related Regulations)/3. KOICA Regulations for International Procurement.pdf,.pdf,375625,True,55,1,,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Related Regulations)/4. Regulations for Procurement and Contract in Grant Aid Projects.pdf,.pdf,157627,True,33,2,,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Related Regulations)/5. Standard of Prequalification Criteria.pdf,.pdf,473791,True,26,1,,
