source_record_id,source_row_number,public_data_id,source_page_url,project_no_source,project_no_linked,project_link_method,project_link_score,existing_db_project_match,existing_db_project_bid_nos,bid_no_source,bid_base_no_source,department,country_ko,is_uganda,procurement_title,sector,procurement_category,scope,ceiling_krw,amount_boundary,contract_method,selection_method,planned_issue_date,construction_related,construction_reason,construction_keywords,area_values_m2,gross_floor_area_m2,gfa_extraction_method,raw_ceiling_per_gfa_krw,unit_cost_potential
15085055:302,302,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2024-00010,official_report_title_containment,0.990,0,,,,아프리카2팀,나이지리아,0,나이지리아 스타트업 디지털 이노베이션 아카데미 설립을 통한 청년 및 중소기업 혁신성장 지원사업('24·'28/1200만불),행정제도,용역,"창업센터(ACE) 중장기 운영계획 수립, 이해관계자 연수, 센터 교육과정 개발, 스타트업 행사 주관 및 사업관리 등",5473401145,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-10,0,,센터,,,,,0
15085055:303,303,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.340,0,,,,유라시아팀,타지키스탄,0,타지키스탄 섬유산업 전문기술인력 양성을 위한 섬유기술센터 설립 사업 PMC 선정,교육,용역,· 사업관리 총괄· 섬유기술텐터 운영계획 수립· 섬유기술센터 교육과정 개발 및 과정별 교보재 제작· 시공업체 선정 및 기자재 조달 지원· 산학협력 프로그램 운영· 인력 역량강화 등,2940917093,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-08,1,시설어+공사어,시공;센터,,,,,0
15085055:304,304,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.421,0,,,,유라시아팀,타지키스탄,0,"타지키스탄 농업용수 관개 관리 현대화 지원 사업('25·'29/1,050만불)",농촌개발,용역,기획조사 결과에 따라 추후 과업 세부범위 및 입찰한도액 확정 예정,1,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-08,0,,,,,,,0
15085055:305,305,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2023-00091,official_report_title_containment,0.990,1,L2025-00087-1,,,유라시아팀,타지키스탄,0,"타지키스탄 전력소외 지역 전력망 구축 2차 사업('23·'26/1,400만불)",산업에너지,물품,추후 현지 설계 완료 및 물량 산출 후 최종 확정 예정,5559939499,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-09,0,,설계,,,,,0
15085055:306,306,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2023-00091,official_report_title_containment,0.990,1,L2025-00087-1,,,유라시아팀,타지키스탄,0,"타지키스탄 전력소외 지역 전력망 구축 2차 사업('23·'26/1,400만불)",산업에너지,공사,현지 설계 완료시 확정 예정,11000991000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-09,0,,설계,,,,,0
15085055:307,307,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2023-00091,official_report_title_containment,0.990,1,L2025-00087-1,,,유라시아팀,타지키스탄,0,타지키스탄 전력소외 지역 전력망 구축 2차 사업 사회경제적 변화 분석 용역,산업에너지,용역,인프라 구축(전력공급)을 통한 삶의 질 개선(사회경제적 변화) 변화이론 검증 및 변화 분석,1906905704,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-07,0,,,,,,,0
15085055:308,308,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2022-00079,existing_db_title_containment,0.990,1,L2023-00071-1;L2024-00053-1;L2025-00002-1,,,동남아시아2팀,인도네시아,0,인도네시아 사이버보안 전문인력양성 역량강화사업(22·27/740만불) 감리 용역,정보통신,용역,"인도네시아 사이버보안 전문인력양성 역량강화사업 시스템 개발(온오프라인 교육 통합플랫폼, LMS시스템) 감리를 위한 용역",179522964,발주계획 입찰한도액; 계획 변경 가능,제한경쟁,협상에 의한 계약(기술평가),2025-06,0,,감리,,,,,0
15085055:309,309,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.417,0,,,,동남아시아1팀,캄보디아,0,"캄보디아 국립민간항공교육원 민간항공 교육시스템 강화 사업('25·'29/1,200만불) PMC 용역",행정제도,용역,"캄보디아 항공교육 품질 향상, 항공교육 효율성 향상 활동 추진 등",5967749769,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-04,0,,교육원,,,,,0
15085055:310,310,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.176,0,,,,연수사업실,미해당,0,2025·2027 글로벌연수사업 회계정산용역,기타,용역,ㅇ글로벌연수사업 회계정산ㅇ파트너기관 회계정산 교육 및 컨설팅,400000000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-03,0,,,,,,,0
15085055:311,311,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.433,0,,,,동남아시아1팀,캄보디아,0,캄보디아 라따나끼리 주 포괄적 공공 보건의료체계 역량강화 사업 PMC 용역,보건의료,용역,"주립병원 역량강화를 위한 초쳥연수, 현지 역량강화 교육, 전문가 파견 등",4550333446,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-05,0,,병원,,,,,0
15085055:312,312,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.457,0,,,,동남아시아1팀,캄보디아,0,"캄보디아 기후변화 대응을 위한 농업 분야 통합적 기술지도·교육·연구 역량 강화 사업('25·'30/1,200만불) PMC 용역",농촌개발,용역,"농업기술지도 역량 강화를 위한 교육 및 연구 기반 조성, 농업기술지도 체계 개선 활동 등",7542866798,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-07,0,,,,,,,0
15085055:313,313,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2021-00097,official_report_title_containment,0.990,1,L2023-00030-1;L2024-00036-1;L2025-00015-1;L2025-00015-2,,,기후환경·경제개발팀,피지,0,피지 농업공존형 태양광 발전사업(GCF)(21·27/800만불) 에너지저장장치(ESS) 기자재 공급,산업에너지,물품,ㅇ 태양광 발전시스템용 에너지저장장치(BESS) 공급 및 설치,4800000000,발주계획 입찰한도액; 계획 변경 가능,조달위탁,적격심사,2025-09,0,,,,,,,0
15085055:314,314,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.408,0,,,,동남아시아1팀,라오스,0,라오스 지식재산서비스센터 및 지재권 관리 시스템 개선 사업('25·'29/700만불),행정제도,용역,"△ 사업 총괄관리 및 보고, 성과관리 및 품질관리, △ 지식재산서비스센터 운영 활성화 지원, △ 역량강화프로그램(초청연수, 현지교육 및 세미나) 실시,",1255800000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술평가),2025-11,0,,센터,,,,,0
15085055:315,315,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.424,0,,,,동남아시아1팀,라오스,0,라오스 버리캄싸이주 상수도 확충 및 개선 사업(25·29/600만불),기타,용역,"△ 사업수행 총괄, △ 설계 및 시공업무 관리(입찰제안 요청서 작성, 업체 관리 및 감리), △ 역량강화 프로그램(초청연수 및 실무교육) 실시, △ 수자원 사용 안전성 평가 및 주민의식 제고, △ 사업 및 성과관리",2346000000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술평가),2025-10,0,,시공;감리;설계,,,,,0
15085055:316,316,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.500,0,,,,동남아시아1팀,라오스,0,라오스 축산물 안전관리체계 개선사업('24·'29/500만불),기타,용역,"△ 사료 안전관리시스템 개선 및 강화, △ 사육단계에서의 안전관리시스템 개선 및 강화, △ 축산물 도축 시스템 개선 및 수의사 검사 활동 강화, △ 축산물 위생과 안전에 대한 관계 공무원 역량강화 및 인식 개선, △ 사업 및 성과관리 등",5182746620,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술평가),2025-05,0,,,,,,,0
